step,drag,lift,cd,cl
0.000000000000000000e+00,-3.099999999999998312e+00,-9.999999999999890921e-02,-7.749999999999994316e+01,-2.499999999999972466e+00
5.000000000000000000e+01,-2.464123617991307302e+00,-1.833474422415413418e-01,-6.160309044978266968e+01,-4.583686056038533074e+00
1.000000000000000000e+02,-1.778887594970781416e+00,-8.004671507393695817e-02,-4.447218987426952452e+01,-2.001167876848423344e+00
1.500000000000000000e+02,-1.394149648375456296e+00,-2.571056048489412937e-01,-3.485374120938639919e+01,-6.427640121223531011e+00
2.000000000000000000e+02,-1.102076266946427907e+00,-2.203974532956140264e-01,-2.755190667366069235e+01,-5.509936332390349634e+00
2.500000000000000000e+02,-9.285737226745283124e-01,-2.727252145883724554e-01,-2.321434306686320426e+01,-6.818130364709309887e+00
3.000000000000000000e+02,-7.467716480441191074e-01,-2.936424081580791823e-01,-1.866929120110297546e+01,-7.341060203951978558e+00
3.500000000000000000e+02,-6.038252898312845840e-01,-2.796316525715085155e-01,-1.509563224578211127e+01,-6.990791314287711167e+00
4.000000000000000000e+02,-5.070223917977424444e-01,-3.037470805605245738e-01,-1.267555979494355789e+01,-7.593677014013112903e+00
4.500000000000000000e+02,-4.008677159430087400e-01,-3.124191398603362591e-01,-1.002169289857521584e+01,-7.810478496508404866e+00
5.000000000000000000e+02,-3.164386725892253671e-01,-3.292514470108928726e-01,-7.910966814730632457e+00,-8.231286175272320094e+00
5.500000000000000000e+02,-2.508913958899682828e-01,-3.457538643793757194e-01,-6.272284897249205571e+00,-8.643846609484391763e+00
6.000000000000000000e+02,-2.115664160583769771e-01,-3.647815416305285607e-01,-5.289160401459423788e+00,-9.119538540763212353e+00
6.500000000000000000e+02,-1.981707948457449575e-01,-3.702197795078795428e-01,-4.954269871143623050e+00,-9.255494487696987349e+00
7.000000000000000000e+02,-2.177605371619081298e-01,-3.665178689201170625e-01,-5.444013429047702246e+00,-9.162946723002924898e+00
7.500000000000000000e+02,-2.766825265651606802e-01,-3.428408123593560397e-01,-6.917063164129015895e+00,-8.571020308983898772e+00
8.000000000000000000e+02,-3.747273195260161227e-01,-3.094995185831324047e-01,-9.368182988150401513e+00,-7.737487964578308564e+00
8.500000000000000000e+02,-4.865419006352095233e-01,-2.791158039479300079e-01,-1.216354751588023575e+01,-6.977895098698248866e+00
9.000000000000000000e+02,-5.865420405680744631e-01,-2.375345718207531043e-01,-1.466355101420185925e+01,-5.938364295518826275e+00
9.500000000000000000e+02,-6.425597161928067180e-01,-1.889095993867729861e-01,-1.606399290482016440e+01,-4.722739984669323654e+00
1.000000000000000000e+03,-6.435262768357479235e-01,-1.531612537380777628e-01,-1.608815692089369520e+01,-3.829031343451943403e+00
1.050000000000000000e+03,-6.067947428849486124e-01,-1.326582382781992253e-01,-1.516986857212371298e+01,-3.316455956954980078e+00
1.100000000000000000e+03,-5.565917789460473886e-01,-1.207840327270800346e-01,-1.391479447365118283e+01,-3.019600818177000434e+00
1.150000000000000000e+03,-5.218622447042150503e-01,-1.040028992802521784e-01,-1.304655611760537326e+01,-2.600072482006304142e+00
1.200000000000000000e+03,-5.290497868881600674e-01,-8.362592815016181569e-02,-1.322624467220399858e+01,-2.090648203754045031e+00
1.250000000000000000e+03,-5.379135508261447818e-01,-7.034875105821228325e-02,-1.344783877065361644e+01,-1.758718776455306720e+00
1.300000000000000000e+03,-5.407844347572350330e-01,-5.343219515496359234e-02,-1.351961086893087405e+01,-1.335804878874089496e+00
1.350000000000000000e+03,-5.413433116456045635e-01,-4.316255082063989723e-02,-1.353358279114011076e+01,-1.079063770515997112e+00
1.400000000000000000e+03,-5.428652923084111848e-01,-3.853650549430819028e-02,-1.357163230771027784e+01,-9.634126373577045488e-01
1.450000000000000000e+03,-5.369437584888270276e-01,-3.395910384905682228e-02,-1.342359396222067325e+01,-8.489775962264204390e-01
1.500000000000000000e+03,-5.271679887891697058e-01,-2.777569797791213518e-02,-1.317919971972924031e+01,-6.943924494478032061e-01
1.550000000000000000e+03,-5.269732406698930394e-01,-2.513169309918981270e-02,-1.317433101674732399e+01,-6.282923274797451718e-01
1.600000000000000000e+03,-5.249131642288197286e-01,-2.411321561059969615e-02,-1.312282910572049133e+01,-6.028303902649922996e-01
1.650000000000000000e+03,-5.191920989378810969e-01,-2.527512922727297162e-02,-1.297980247344702498e+01,-6.318782306818241379e-01
1.700000000000000000e+03,-5.075285362265585798e-01,-3.115948541890182361e-02,-1.268821340566396216e+01,-7.789871354725453889e-01
1.750000000000000000e+03,-4.943350045839517426e-01,-3.673650292351552521e-02,-1.235837511459879146e+01,-9.184125730878879290e-01
1.800000000000000000e+03,-4.787487789421547846e-01,-4.230812030039392269e-02,-1.196871947355386645e+01,-1.057703007509847914e+00
1.850000000000000000e+03,-4.647691547890901997e-01,-4.575320270157424984e-02,-1.161922886972725344e+01,-1.143830067539356010e+00
