step,drag,lift,cd,cl
0.000000000000000000e+00,-3.099999999999998312e+00,-9.999999999999890921e-02,-7.749999999999994316e+01,-2.499999999999972466e+00
5.000000000000000000e+01,-1.939655665776532034e+00,-1.403917005931078488e-01,-4.849139164441329086e+01,-3.509792514827695609e+00
1.000000000000000000e+02,-1.380674794323367260e+00,-1.823355304053681653e-02,-3.451686985808417774e+01,-4.558388260134203507e-01
1.500000000000000000e+02,-1.133555654441879890e+00,-1.431639062649955330e-01,-2.833889136104699347e+01,-3.579097656624887769e+00
2.000000000000000000e+02,-9.728404127378155186e-01,-1.818729199737464941e-01,-2.432101031844538497e+01,-4.546822999343661742e+00
2.500000000000000000e+02,-8.782051381304939452e-01,-1.706630749052508444e-01,-2.195512845326234341e+01,-4.266576872631270057e+00
3.000000000000000000e+02,-7.654525728397980622e-01,-2.256097756076761163e-01,-1.913631432099494845e+01,-5.640244390191901935e+00
3.500000000000000000e+02,-6.676642824633618467e-01,-2.348598266817613633e-01,-1.669160706158404395e+01,-5.871495667044032807e+00
4.000000000000000000e+02,-6.171604333730987824e-01,-2.329240394296036853e-01,-1.542901083432746567e+01,-5.823100985740090607e+00
4.500000000000000000e+02,-5.765471455557537039e-01,-2.409577132959945245e-01,-1.441367863889384004e+01,-6.023942832399861835e+00
5.000000000000000000e+02,-5.431837343704284393e-01,-2.496053728744698774e-01,-1.357959335926070921e+01,-6.240134321861745548e+00
5.500000000000000000e+02,-5.159414350397918403e-01,-2.347626934724533765e-01,-1.289853587599479390e+01,-5.869067336811332858e+00
6.000000000000000000e+02,-5.014224653080066041e-01,-2.360850578984358128e-01,-1.253556163270016199e+01,-5.902126447460894099e+00
6.500000000000000000e+02,-4.935288518888494291e-01,-2.287346860306027074e-01,-1.233822129722123329e+01,-5.718367150765066853e+00
7.000000000000000000e+02,-4.902497655173805313e-01,-2.068742155870765265e-01,-1.225624413793451062e+01,-5.171855389676911940e+00
7.500000000000000000e+02,-4.900857873418589805e-01,-1.891195635354797622e-01,-1.225214468354647224e+01,-4.727989088386992833e+00
8.000000000000000000e+02,-4.938028268024922118e-01,-1.732387433618964856e-01,-1.234507067006230230e+01,-4.330968584047411696e+00
8.500000000000000000e+02,-4.997834820622486518e-01,-1.524412436197259135e-01,-1.249458705155621452e+01,-3.811031090493147033e+00
9.000000000000000000e+02,-5.076781584968987904e-01,-1.361767613356494044e-01,-1.269195396242246687e+01,-3.404419033391234528e+00
9.500000000000000000e+02,-5.156365524914777732e-01,-1.208575289804239283e-01,-1.289091381228694111e+01,-3.021438224510597514e+00
1.000000000000000000e+03,-5.221428299634006676e-01,-1.059813860982620481e-01,-1.305357074908501502e+01,-2.649534652456550621e+00
1.050000000000000000e+03,-5.263122742499706241e-01,-9.738784602554695358e-02,-1.315780685624926249e+01,-2.434696150638673284e+00
1.100000000000000000e+03,-5.227889220298782558e-01,-9.299092839240238884e-02,-1.306972305074695306e+01,-2.324773209810059083e+00
1.150000000000000000e+03,-5.188880201996225461e-01,-8.788644891713648377e-02,-1.297220050499056043e+01,-2.197161222928411650e+00
1.200000000000000000e+03,-5.255408419123344110e-01,-8.609951263998807947e-02,-1.313852104780835717e+01,-2.152487815999701404e+00
1.250000000000000000e+03,-5.218787413999336211e-01,-9.164987164373801509e-02,-1.304696853499833864e+01,-2.291246791093449975e+00
1.300000000000000000e+03,-5.125503740649762774e-01,-9.348339636559910293e-02,-1.281375935162440527e+01,-2.337084909139977018e+00
1.350000000000000000e+03,-5.041703232780364585e-01,-9.498353308737372824e-02,-1.260425808195090980e+01,-2.374588327184342873e+00
1.400000000000000000e+03,-4.987573976930391173e-01,-9.894278750367990760e-02,-1.246893494232597632e+01,-2.473569687591997024e+00
1.450000000000000000e+03,-4.889804451953335129e-01,-1.019911701288945538e-01,-1.222451112988333577e+01,-2.549779253222363540e+00
1.500000000000000000e+03,-4.776905670562979211e-01,-1.020073270209280181e-01,-1.194226417640744486e+01,-2.550183175523200063e+00
1.550000000000000000e+03,-4.733724441915430070e-01,-1.027615426367251422e-01,-1.183431110478857207e+01,-2.569038565918127848e+00
1.600000000000000000e+03,-4.697895131985081463e-01,-1.038742944278767677e-01,-1.174473782996270188e+01,-2.596857360696918526e+00
1.650000000000000000e+03,-4.668892720849244227e-01,-1.027666392024933067e-01,-1.167223180212310751e+01,-2.569165980062332100e+00
1.700000000000000000e+03,-4.643306074893386870e-01,-1.021415320691922146e-01,-1.160826518723346545e+01,-2.553538301729804783e+00
1.750000000000000000e+03,-4.639933166191181346e-01,-1.007903708178846114e-01,-1.159983291547795048e+01,-2.519759270447115007e+00
1.800000000000000000e+03,-4.633698141042285612e-01,-9.923140294448482002e-02,-1.158424535260571098e+01,-2.480785073612119973e+00
1.850000000000000000e+03,-4.628332552941274436e-01,-9.751109971574353774e-02,-1.157083138235318387e+01,-2.437777492893587805e+00
1.900000000000000000e+03,-4.624600488293743594e-01,-9.599097509244224058e-02,-1.156150122073435682e+01,-2.399774377311055584e+00
1.950000000000000000e+03,-4.621011848509666287e-01,-9.456030204669511885e-02,-1.155252962127416261e+01,-2.364007551167377486e+00
2.000000000000000000e+03,-4.615877963125637473e-01,-9.346117427790168186e-02,-1.153969490781409135e+01,-2.336529356947541380e+00
2.050000000000000000e+03,-4.608258012548878124e-01,-9.281609392877789022e-02,-1.152064503137219376e+01,-2.320402348219446687e+00
2.100000000000000000e+03,-4.598488083708353047e-01,-9.230023875953344281e-02,-1.149622020927088073e+01,-2.307505968988335709e+00
2.150000000000000000e+03,-4.587355087589929936e-01,-9.213657636510141913e-02,-1.146838771897482268e+01,-2.303414409127535034e+00
2.200000000000000000e+03,-4.574950121222662869e-01,-9.206776004349193077e-02,-1.143737530305665473e+01,-2.301694001087297714e+00
2.250000000000000000e+03,-4.561625235848266735e-01,-9.204578217286203679e-02,-1.140406308962066539e+01,-2.301144554321550295e+00
2.300000000000000000e+03,-4.547821140412884322e-01,-9.207461815015385853e-02,-1.136955285103220881e+01,-2.301865453753845880e+00
2.350000000000000000e+03,-4.534802095463627003e-01,-9.207034618875091503e-02,-1.133700523865906540e+01,-2.301758654718772501e+00
2.400000000000000000e+03,-4.522952745402569752e-01,-9.201161900719459497e-02,-1.130738186350642138e+01,-2.300290475179864291e+00
2.450000000000000000e+03,-4.511548967737141203e-01,-9.194653290005361246e-02,-1.127887241934285001e+01,-2.298663322501339756e+00
2.500000000000000000e+03,-4.501693872514667127e-01,-9.180617266804039223e-02,-1.125423468128666649e+01,-2.295154316701009556e+00
2.550000000000000000e+03,-4.494058817629664748e-01,-9.162515835433322764e-02,-1.123514704407415898e+01,-2.290628958858330400e+00
2.600000000000000000e+03,-4.482410393001660109e-01,-9.158155515842042460e-02,-1.120602598250414772e+01,-2.289538878960510004e+00
2.650000000000000000e+03,-4.470954528162792707e-01,-9.128337296837316095e-02,-1.117738632040697944e+01,-2.282084324209328496e+00
2.700000000000000000e+03,-4.462782045688733490e-01,-9.101874569977447260e-02,-1.115695511422183195e+01,-2.275468642494361315e+00
2.750000000000000000e+03,-4.456508107567476173e-01,-9.088486888473634728e-02,-1.114127026891868866e+01,-2.272121722118408460e+00
2.800000000000000000e+03,-4.449487831941776883e-01,-9.069692760713007895e-02,-1.112371957985443949e+01,-2.267423190178251335e+00
2.850000000000000000e+03,-4.443158275486821518e-01,-9.041979140663616854e-02,-1.110789568871705235e+01,-2.260494785165903853e+00
2.900000000000000000e+03,-4.439343055850284991e-01,-9.022269468267041237e-02,-1.109835763962571065e+01,-2.255567367066759754e+00
2.950000000000000000e+03,-4.434679176166694270e-01,-9.008737558259628797e-02,-1.108669794041673384e+01,-2.252184389564906741e+00
3.000000000000000000e+03,-4.428655854264186287e-01,-8.987901861643063373e-02,-1.107163963566046405e+01,-2.246975465410765427e+00
3.050000000000000000e+03,-4.422986873320978729e-01,-8.971578090982960940e-02,-1.105746718330244427e+01,-2.242894522745739749e+00
3.100000000000000000e+03,-4.417634675054911142e-01,-8.958941289749482173e-02,-1.104408668763727519e+01,-2.239735322437370169e+00
3.150000000000000000e+03,-4.412133727987644916e-01,-8.947164935391019314e-02,-1.103033431996911062e+01,-2.236791233847754246e+00
3.200000000000000000e+03,-4.406504335937404537e-01,-8.937983042087863095e-02,-1.101626083984350934e+01,-2.234495760521965302e+00
