step,drag,lift,cd,cl
0.000000000000000000e+00,-3.099999999999998312e+00,-9.999999999999890921e-02,-7.749999999999994316e+01,-2.499999999999972466e+00
5.000000000000000000e+01,-2.264265152586034002e+00,-9.028723336126300014e-02,-5.660662881465083984e+01,-2.257180834031574435e+00
1.000000000000000000e+02,-1.682124771132085028e+00,4.994981716902123503e-02,-4.205311927830211971e+01,1.248745429225530668e+00
1.500000000000000000e+02,-1.417038913776488052e+00,-9.952501319068024488e-02,-3.542597284441219330e+01,-2.488125329767005844e+00
2.000000000000000000e+02,-1.217579046260189868e+00,-1.308264533532734475e-01,-3.043947615650474248e+01,-3.270661333831835549e+00
2.500000000000000000e+02,-1.075414395962098757e+00,-9.623643543974334802e-02,-2.688535989905246382e+01,-2.405910885993583381e+00
3.000000000000000000e+02,-9.548990268059120989e-01,-1.572015512416947702e-01,-2.387247567014779648e+01,-3.930038781042368701e+00
3.500000000000000000e+02,-8.418091169327275303e-01,-1.984611476248650530e-01,-2.104522792331818337e+01,-4.961528690621625159e+00
4.000000000000000000e+02,-7.689839011656096623e-01,-2.295417665607718816e-01,-1.922459752914023667e+01,-5.738544164019296012e+00
4.500000000000000000e+02,-6.930172385374984145e-01,-2.397362889669546193e-01,-1.732543096343745859e+01,-5.993407224173864734e+00
5.000000000000000000e+02,-6.236808300841399921e-01,-2.572409560468331136e-01,-1.559202075210349747e+01,-6.431023901170826562e+00
5.500000000000000000e+02,-5.685803640729270025e-01,-2.723280858495635282e-01,-1.421450910182317173e+01,-6.808202146239087149e+00
6.000000000000000000e+02,-5.360216595746902790e-01,-3.299839662093717041e-01,-1.340054148936725475e+01,-8.249599155234291104e+00
6.500000000000000000e+02,-5.138718021420345394e-01,-3.733462919120537626e-01,-1.284679505355086171e+01,-9.333657297801341457e+00
7.000000000000000000e+02,-5.085005427786974952e-01,-3.826557241107386709e-01,-1.271251356946743449e+01,-9.566393102768465440e+00
7.500000000000000000e+02,-5.237061718629829610e-01,-3.656882343219766129e-01,-1.309265429657457069e+01,-9.142205858049413436e+00
8.000000000000000000e+02,-5.716467306535889525e-01,-3.271269317426309664e-01,-1.429116826633972082e+01,-8.178173293565771829e+00
8.500000000000000000e+02,-6.521442755633561905e-01,-2.680851544551933752e-01,-1.630360688908390188e+01,-6.702128861379833324e+00
9.000000000000000000e+02,-7.577218962938925273e-01,-2.060271029973093082e-01,-1.894304740734730785e+01,-5.150677574932731595e+00
9.500000000000000000e+02,-8.841213406212663495e-01,-1.266549594047758076e-01,-2.210303351553165285e+01,-3.166373985119394607e+00
1.000000000000000000e+03,-1.025932567751851598e+00,-3.823500220664529520e-02,-2.564831419379628485e+01,-9.558750551661322481e-01
1.050000000000000000e+03,-1.161661502944405955e+00,2.668632709760238031e-02,-2.904153757361014243e+01,6.671581774400593412e-01
1.100000000000000000e+03,-1.250882585162612415e+00,3.811798831373720831e-02,-3.127206462906530504e+01,9.529497078434300272e-01
1.150000000000000000e+03,-1.261375799825922739e+00,1.107302988808667177e-02,-3.153439499564806070e+01,2.768257472021667387e-01
1.200000000000000000e+03,-1.196358844226889984e+00,-1.055860684227589996e-02,-2.990897110567224360e+01,-2.639651710568974297e-01
1.250000000000000000e+03,-1.074256344178686540e+00,-6.993535397481123739e-02,-2.685640860446715905e+01,-1.748383849370280574e+00
1.300000000000000000e+03,-9.430198008827164191e-01,-1.371169032669236898e-01,-2.357549502206790493e+01,-3.427922581673091607e+00
1.350000000000000000e+03,-8.418244215792397567e-01,-1.647656926987293158e-01,-2.104561053948098959e+01,-4.119142317468232228e+00
1.400000000000000000e+03,-7.847474920082990746e-01,-1.651662721423491353e-01,-1.961868730020747265e+01,-4.129156803558727162e+00
1.450000000000000000e+03,-7.520720320511296020e-01,-1.555386227332945792e-01,-1.880180080127823672e+01,-3.888465568332363897e+00
1.500000000000000000e+03,-7.367153305846132483e-01,-1.317580723178413127e-01,-1.841788326461532677e+01,-3.293951807946032151e+00
1.550000000000000000e+03,-7.440597129167021428e-01,-1.087773657487499657e-01,-1.860149282291754957e+01,-2.719434143718748587e+00
