step,drag,lift,cd,cl
0.000000000000000000e+00,-3.099999999999998312e+00,-9.999999999999890921e-02,-7.749999999999994316e+01,-2.499999999999972466e+00
5.000000000000000000e+01,-1.881774109236023618e+00,-8.261721678944394798e-02,-4.704435273090058445e+01,-2.065430419736098422e+00
1.000000000000000000e+02,-1.325419984070556056e+00,5.594546219890819683e-03,-3.313549960176389675e+01,1.398636554972704782e-01
1.500000000000000000e+02,-1.086779473968712439e+00,-3.651066492967353083e-02,-2.716948684921780455e+01,-9.127666232418381043e-01
2.000000000000000000e+02,-9.362547791754530779e-01,-1.711907834527999217e-01,-2.340636947938632417e+01,-4.279769586319996932e+00
2.500000000000000000e+02,-8.536163268168203144e-01,-1.191079428538686924e-01,-2.134040817042050264e+01,-2.977698571346716783e+00
3.000000000000000000e+02,-7.433725157186691357e-01,-1.660437767848017832e-01,-1.858431289296672517e+01,-4.151094419620044107e+00
3.500000000000000000e+02,-6.705793201535414916e-01,-1.517494361579094786e-01,-1.676448300383853507e+01,-3.793735903947736077e+00
4.000000000000000000e+02,-6.307205264626488672e-01,-2.062519183492822483e-01,-1.576801316156621802e+01,-5.156297958732054987e+00
4.500000000000000000e+02,-6.030394912801043672e-01,-1.840032534468920566e-01,-1.507598728200260574e+01,-4.600081336172300084e+00
5.000000000000000000e+02,-5.759759712103026397e-01,-2.278795342282948500e-01,-1.439939928025756366e+01,-5.696988355707370388e+00
5.500000000000000000e+02,-5.559053389836237091e-01,-2.011448698785624489e-01,-1.389763347459058984e+01,-5.028621746964060613e+00
6.000000000000000000e+02,-5.433434696614316550e-01,-2.147569490273168735e-01,-1.358358674153578960e+01,-5.368923725682920534e+00
6.500000000000000000e+02,-5.377291873968464975e-01,-2.088757430174166818e-01,-1.344322968492116033e+01,-5.221893575435416324e+00
7.000000000000000000e+02,-5.338978684456233692e-01,-2.036448773625931241e-01,-1.334744671114058079e+01,-5.091121934064827492e+00
7.500000000000000000e+02,-5.329837794006813123e-01,-1.873572330669194819e-01,-1.332459448501703037e+01,-4.683930826672986214e+00
8.000000000000000000e+02,-5.340638144748741656e-01,-1.728078435088105103e-01,-1.335159536187185125e+01,-4.320196087720262312e+00
8.500000000000000000e+02,-5.384299691709591995e-01,-1.605675674132378272e-01,-1.346074922927397743e+01,-4.014189185330945264e+00
9.000000000000000000e+02,-5.451979953441733473e-01,-1.442224830848867212e-01,-1.362994988360433091e+01,-3.605562077122167253e+00
9.500000000000000000e+02,-5.535399039695794166e-01,-1.359539233442790818e-01,-1.383849759923948319e+01,-3.398848083606976545e+00
1.000000000000000000e+03,-5.624051518283549322e-01,-1.185857064609136674e-01,-1.406012879570887009e+01,-2.964642661522840950e+00
1.050000000000000000e+03,-5.707433191663078276e-01,-1.081617373244692371e-01,-1.426858297915769214e+01,-2.704043433111730454e+00
1.100000000000000000e+03,-5.731460642072929712e-01,-9.556508747464859121e-02,-1.432865160518232095e+01,-2.389127186866214281e+00
1.150000000000000000e+03,-5.765266769801186131e-01,-8.773773453310915182e-02,-1.441316692450296166e+01,-2.193443363327728157e+00
1.200000000000000000e+03,-5.908374937919835812e-01,-7.818117459804026226e-02,-1.477093734479958620e+01,-1.954529364951006265e+00
1.250000000000000000e+03,-5.937026708842738643e-01,-7.806512504286652887e-02,-1.484256677210684394e+01,-1.951628126071662805e+00
1.300000000000000000e+03,-5.912635129559337122e-01,-7.788024518690396525e-02,-1.478158782389833981e+01,-1.947006129672598673e+00
1.350000000000000000e+03,-5.881052529503451032e-01,-7.924981406842332432e-02,-1.470263132375862547e+01,-1.981245351710582803e+00
1.400000000000000000e+03,-5.864455918004402024e-01,-8.351593149943226102e-02,-1.466113979501100140e+01,-2.087898287485806303e+00
