step,drag,lift,cd,cl
0.000000000000000000e+00,-3.099999999999998312e+00,-9.999999999999890921e-02,-7.749999999999994316e+01,-2.499999999999972466e+00
5.000000000000000000e+01,-2.033383242791885426e+00,2.089822022185032491e-02,-5.083458106979712454e+01,5.224555055462579700e-01
1.000000000000000000e+02,-1.569071498892949501e+00,5.262633466670040006e-02,-3.922678747232372842e+01,1.315658366667509682e+00
1.500000000000000000e+02,-1.317763559519896432e+00,-2.433374725298338009e-02,-3.294408898799740371e+01,-6.083436813245843844e-01
2.000000000000000000e+02,-1.117338619126564403e+00,-9.067841532639211999e-02,-2.793346547816410563e+01,-2.266960383159802639e+00
2.500000000000000000e+02,-9.696884403238067440e-01,-9.559482798148197236e-02,-2.424221100809516471e+01,-2.389870699537048893e+00
3.000000000000000000e+02,-8.379484020896393881e-01,-6.709469755434036009e-02,-2.094871005224097971e+01,-1.677367438858508697e+00
3.500000000000000000e+02,-7.322308611328625094e-01,-8.717827408990487525e-02,-1.830577152832156074e+01,-2.179456852247621423e+00
4.000000000000000000e+02,-6.671244256201336320e-01,-1.321531999811932923e-01,-1.667811064050333769e+01,-3.303829999529831696e+00
4.500000000000000000e+02,-6.062171913677442125e-01,-1.714467018406142240e-01,-1.515542978419360232e+01,-4.286167546015354546e+00
5.000000000000000000e+02,-5.474729029128829749e-01,-2.006227920334021086e-01,-1.368682257282207182e+01,-5.015569800835051772e+00
5.500000000000000000e+02,-4.995502736431174373e-01,-2.111999597893260971e-01,-1.248875684107793305e+01,-5.279998994733151818e+00
6.000000000000000000e+02,-4.679086538295989528e-01,-2.318925952281851721e-01,-1.169771634573997154e+01,-5.797314880704628415e+00
6.500000000000000000e+02,-4.483352561416474313e-01,-2.689508782219251493e-01,-1.120838140354118373e+01,-6.723771955548127011e+00
7.000000000000000000e+02,-4.389326436870726322e-01,-2.957980009551857692e-01,-1.097331609217681425e+01,-7.394950023879642842e+00
7.500000000000000000e+02,-4.421716638900712315e-01,-3.042461496131326770e-01,-1.105429159725177790e+01,-7.606153740328315038e+00
8.000000000000000000e+02,-4.660193172473884315e-01,-2.900940158221497756e-01,-1.165048293118470824e+01,-7.252350395553743390e+00
8.500000000000000000e+02,-5.155184448713092671e-01,-2.522523083181076320e-01,-1.288796112178272857e+01,-6.306307707952689690e+00
9.000000000000000000e+02,-5.897486427469285086e-01,-1.981479426639957131e-01,-1.474371606867321027e+01,-4.953698566599891606e+00
9.500000000000000000e+02,-6.832737840089425640e-01,-1.299461924124258316e-01,-1.708184460022356177e+01,-3.248654810310644958e+00
1.000000000000000000e+03,-7.913523859147351125e-01,-4.293437624786806267e-02,-1.978380964786837382e+01,-1.073359406196701338e+00
1.050000000000000000e+03,-9.051167174612263500e-01,5.290299644040882820e-02,-2.262791793653065398e+01,1.322574911010220511e+00
1.100000000000000000e+03,-1.006986112057094207e+00,1.407424845273716474e-01,-2.517465280142734940e+01,3.518562113184290574e+00
1.150000000000000000e+03,-1.089042433267795040e+00,1.988325109164191806e-01,-2.722606083169486979e+01,4.970812772910478294e+00
1.200000000000000000e+03,-1.146754255296079439e+00,2.197821368036568801e-01,-2.866885638240198020e+01,5.494553420091421003e+00
1.250000000000000000e+03,-1.142340522645121093e+00,2.079696759550526686e-01,-2.855851306612802176e+01,5.199241898876315382e+00
1.300000000000000000e+03,-1.084988827845568826e+00,1.858751874605409915e-01,-2.712472069613921377e+01,4.646879686513523566e+00
1.350000000000000000e+03,-9.968485316651738426e-01,1.380673449470508629e-01,-2.492121329162934273e+01,3.451683623676270685e+00
1.400000000000000000e+03,-9.046403019807266466e-01,4.906042138860514101e-02,-2.261600754951816228e+01,1.226510534715128387e+00
1.450000000000000000e+03,-8.149957535076303161e-01,-5.292261020920719511e-02,-2.037489383769075246e+01,-1.323065255230179593e+00
1.500000000000000000e+03,-7.536686534649033042e-01,-1.214574172462067891e-01,-1.884171633662257861e+01,-3.036435431155169340e+00
1.550000000000000000e+03,-7.275598415111579342e-01,-1.204222827662136119e-01,-1.818899603777894569e+01,-3.010557069155339605e+00
1.600000000000000000e+03,-7.204143788815923211e-01,-6.035632916449158031e-02,-1.801035947203980569e+01,-1.508908229112289279e+00
1.650000000000000000e+03,-7.231553041273626192e-01,1.257771691242443035e-03,-1.807888260318406282e+01,3.144429228106106894e-02
1.700000000000000000e+03,-7.253455630049343572e-01,1.812895157769804644e-02,-1.813363907512335516e+01,4.532237894424510638e-01
1.750000000000000000e+03,-7.104666838556292774e-01,-1.497862969979565917e-02,-1.776166709639072749e+01,-3.744657424948913960e-01
1.800000000000000000e+03,-6.726153175192677303e-01,-8.612072527754002782e-02,-1.681538293798168837e+01,-2.153018131938500446e+00
1.850000000000000000e+03,-6.389135993817911530e-01,-1.730358961097185344e-01,-1.597283998454477505e+01,-4.325897402742962861e+00
1.900000000000000000e+03,-6.329464470373876717e-01,-2.311566157885416861e-01,-1.582366117593468857e+01,-5.778915394713541431e+00
1.950000000000000000e+03,-6.641967549183136477e-01,-2.173251998433421428e-01,-1.660491887295783897e+01,-5.433129996083552626e+00
2.000000000000000000e+03,-7.229445891134678170e-01,-1.373975979999668695e-01,-1.807361472783669143e+01,-3.434939949999170850e+00
2.050000000000000000e+03,-7.823055899443353001e-01,-3.452083402282764280e-02,-1.955763974860837706e+01,-8.630208505706908895e-01
2.100000000000000000e+03,-8.324909935704443154e-01,5.228002574762236065e-02,-2.081227483926110366e+01,1.307000643690558794e+00
2.150000000000000000e+03,-8.635961647080793169e-01,9.193592533817727952e-02,-2.158990411770198037e+01,2.298398133454431669e+00
2.200000000000000000e+03,-8.500714611612997240e-01,6.711482686623178318e-02,-2.125178652903248988e+01,1.677870671655794288e+00
2.250000000000000000e+03,-7.992055428041725529e-01,-5.983953763930065228e-03,-1.998013857010430883e+01,-1.495988440982516099e-01
2.300000000000000000e+03,-7.475609365985413923e-01,-1.083094104889308629e-01,-1.868902341496353259e+01,-2.707735262223271100e+00
2.350000000000000000e+03,-7.175540613205042551e-01,-2.024128456725358127e-01,-1.793885153301260260e+01,-5.060321141813393986e+00
2.400000000000000000e+03,-7.221140042313967111e-01,-2.300798910744599746e-01,-1.805285010578491267e+01,-5.751997276861498420e+00
2.450000000000000000e+03,-7.561013898733043304e-01,-1.736717085946262173e-01,-1.890253474683260393e+01,-4.341792714865654546e+00
2.500000000000000000e+03,-7.915504334926497521e-01,-6.747929332257118773e-02,-1.978876083731623936e+01,-1.686982333064279471e+00
2.550000000000000000e+03,-8.144428805066765698e-01,2.490357962216017962e-02,-2.036107201266690936e+01,6.225894905540043656e-01
2.600000000000000000e+03,-8.245088376183737910e-01,5.421306354205199241e-02,-2.061272094045934011e+01,1.355326588551299505e+00
2.650000000000000000e+03,-7.918344417474972863e-01,7.406182107722356078e-03,-1.979586104368742738e+01,1.851545526930588603e-01
