step,drag,lift,cd,cl
0.000000000000000000e+00,-3.099999999999998312e+00,-9.999999999999890921e-02,-7.749999999999994316e+01,-2.499999999999972466e+00
5.000000000000000000e+01,-2.309884294345295075e+00,-9.685520108741735301e-02,-5.774710735863236266e+01,-2.421380027185433548e+00
1.000000000000000000e+02,-1.753427883833799772e+00,3.181094272540166412e-02,-4.383569709584498497e+01,7.952735681350414643e-01
1.500000000000000000e+02,-1.480060660134804751e+00,-1.765872095496930916e-01,-3.700151650337011233e+01,-4.414680238742326068e+00
2.000000000000000000e+02,-1.267191203445817482e+00,-1.704212839230452303e-01,-3.167978008614543128e+01,-4.260532098076129870e+00
2.500000000000000000e+02,-1.123460341420139619e+00,-1.614412548890884480e-01,-2.808650853550348359e+01,-4.036031372227210312e+00
3.000000000000000000e+02,-9.813722659730311770e-01,-2.226583242422265907e-01,-2.453430664932577443e+01,-5.566458106055663713e+00
3.500000000000000000e+02,-8.592086487640147041e-01,-2.273444835701071698e-01,-2.148021621910036316e+01,-5.683612089252678246e+00
4.000000000000000000e+02,-7.795365774473167475e-01,-2.554538143283162643e-01,-1.948841443618291436e+01,-6.386345358207905498e+00
4.500000000000000000e+02,-6.917062317171258634e-01,-2.747510724253851011e-01,-1.729265579292814436e+01,-6.868776810634626528e+00
5.000000000000000000e+02,-6.178976429392807335e-01,-2.913535428302680974e-01,-1.544744107348201467e+01,-7.283838570756700825e+00
5.500000000000000000e+02,-5.594881678042483708e-01,-3.103904252966030453e-01,-1.398720419510620694e+01,-7.759760632415074966e+00
6.000000000000000000e+02,-5.222053103812979158e-01,-3.590309240806210389e-01,-1.305513275953244623e+01,-8.975773102015523364e+00
6.500000000000000000e+02,-4.968294035743412440e-01,-3.768344525999686168e-01,-1.242073508935852821e+01,-9.420861314999212865e+00
7.000000000000000000e+02,-4.950220942974807858e-01,-3.821951610656180165e-01,-1.237555235743701765e+01,-9.554879026640447748e+00
7.500000000000000000e+02,-5.174074312842111834e-01,-3.660091825980944513e-01,-1.293518578210527714e+01,-9.150229564952359951e+00
8.000000000000000000e+02,-5.806230175978993602e-01,-3.169579402382396438e-01,-1.451557543994748123e+01,-7.923948505955989319e+00
8.500000000000000000e+02,-6.804814149114132293e-01,-2.563855641388035900e-01,-1.701203537278532707e+01,-6.409639103470088806e+00
9.000000000000000000e+02,-8.103589471081091844e-01,-1.938395981187997774e-01,-2.025897367770272695e+01,-4.845989952969993908e+00
9.500000000000000000e+02,-9.588500081892950000e-01,-1.378450449313325943e-01,-2.397125020473237100e+01,-3.446126123283314246e+00
1.000000000000000000e+03,-1.084559761215328377e+00,-1.189870418639635830e-01,-2.711399403038320344e+01,-2.974676046599089130e+00
1.050000000000000000e+03,-1.140657615788333468e+00,-1.106480408537190430e-01,-2.851644039470833292e+01,-2.766201021342975519e+00
1.100000000000000000e+03,-1.117599224195851448e+00,-7.047966463932289760e-02,-2.793998060489628088e+01,-1.761991615983072190e+00
1.150000000000000000e+03,-1.046849188405506448e+00,-4.834259076856185083e-02,-2.617122971013765564e+01,-1.208564769214045986e+00
1.200000000000000000e+03,-9.716275619607539493e-01,-5.966826845488014397e-02,-2.429068904901884451e+01,-1.491706711372003280e+00
1.250000000000000000e+03,-9.006400221516264182e-01,-5.953981438314621261e-02,-2.251600055379065779e+01,-1.488495359578654975e+00
1.300000000000000000e+03,-8.529701408109187089e-01,-4.088252285578183876e-02,-2.132425352027296483e+01,-1.022063071394545775e+00
