step,drag,lift,cd,cl
0.000000000000000000e+00,-3.099999999999998312e+00,-9.999999999999890921e-02,-7.749999999999994316e+01,-2.499999999999972466e+00
5.000000000000000000e+01,-2.265058713303552018e+00,-2.392003704801762276e-01,-5.662646783258878713e+01,-5.980009262004404746e+00
1.000000000000000000e+02,-1.483852988281363583e+00,-1.541383359480922033e-01,-3.709632470703408558e+01,-3.853458398702304333e+00
1.500000000000000000e+02,-1.068587534211268730e+00,-3.073830079151784189e-01,-2.671468835528171226e+01,-7.684575197879459196e+00
2.000000000000000000e+02,-7.984200003472485818e-01,-2.779676811223599220e-01,-1.996050000868121188e+01,-6.949192028058996939e+00
2.500000000000000000e+02,-6.478766965914722897e-01,-3.004465970360963301e-01,-1.619691741478680314e+01,-7.511164925902407141e+00
3.000000000000000000e+02,-4.768891286730148060e-01,-3.157159719762231420e-01,-1.192222821682536704e+01,-7.892899299405576663e+00
3.500000000000000000e+02,-3.299820222719889729e-01,-2.938562096890645070e-01,-8.249550556799722045e+00,-7.346405242226611065e+00
4.000000000000000000e+02,-2.477433620568494088e-01,-3.144122207109842915e-01,-6.193584051421233916e+00,-7.860305517774605732e+00
4.500000000000000000e+02,-1.761795579677643553e-01,-3.232744127492945263e-01,-4.404488949194107938e+00,-8.081860318732362103e+00
5.000000000000000000e+02,-1.256346169438794791e-01,-3.208314084716590298e-01,-3.140865423596986172e+00,-8.020785211791473301e+00
5.500000000000000000e+02,-9.377818339785150281e-02,-3.239220760542358968e-01,-2.344454584946287223e+00,-8.098051901355896476e+00
6.000000000000000000e+02,-8.890440257199862251e-02,-3.204966612064238940e-01,-2.222610064299965327e+00,-8.012416530160596295e+00
6.500000000000000000e+02,-1.102170924871175017e-01,-3.086246051514547339e-01,-2.755427312177936905e+00,-7.715615128786367016e+00
7.000000000000000000e+02,-1.524043316172001838e-01,-2.916355528420593868e-01,-3.810108290430003652e+00,-7.290888821051483504e+00
7.500000000000000000e+02,-2.005550469330678598e-01,-2.665330381754182354e-01,-5.013876173326695884e+00,-6.663325954385454608e+00
8.000000000000000000e+02,-2.458593611584768968e-01,-2.400006792130127964e-01,-6.146484028961920920e+00,-6.000016980325319160e+00
8.500000000000000000e+02,-2.780539141633525668e-01,-2.157021047144843939e-01,-6.951347854083812727e+00,-5.392552617862108377e+00
9.000000000000000000e+02,-2.963921770620361329e-01,-1.920275504855636084e-01,-7.409804426550901546e+00,-4.800688762139089683e+00
9.500000000000000000e+02,-3.030965768473241617e-01,-1.716040231112523351e-01,-7.577414421183102711e+00,-4.290100577781307933e+00
1.000000000000000000e+03,-3.019848354325300743e-01,-1.579946269809288650e-01,-7.549620885813250304e+00,-3.949865674523220793e+00
1.050000000000000000e+03,-2.965427913694494988e-01,-1.458232944217622562e-01,-7.413569784236235805e+00,-3.645582360544055600e+00
1.100000000000000000e+03,-2.842365231490208144e-01,-1.368553336176491220e-01,-7.105913078725518695e+00,-3.421383340441227272e+00
1.150000000000000000e+03,-2.719286868485309427e-01,-1.273300774264479462e-01,-6.798217171213272181e+00,-3.183251935661198129e+00
1.200000000000000000e+03,-2.787500211691708030e-01,-1.202740317850931051e-01,-6.968750529229268409e+00,-3.006850794627327073e+00
1.250000000000000000e+03,-2.750100714956633108e-01,-1.198143288505351123e-01,-6.875251787391581715e+00,-2.995358221263377363e+00
1.300000000000000000e+03,-2.641581536746664405e-01,-1.136410015309219645e-01,-6.603953841866659680e+00,-2.841025038273048420e+00
1.350000000000000000e+03,-2.561314952885848095e-01,-1.103051961510946588e-01,-6.403287382214618795e+00,-2.757629903777365943e+00
1.400000000000000000e+03,-2.533849721592487114e-01,-1.105729816675102561e-01,-6.334624303981216897e+00,-2.764324541687755765e+00
1.450000000000000000e+03,-2.451978687282092284e-01,-1.099558192773101295e-01,-6.129946718205229850e+00,-2.748895481932752904e+00
