step,drag,lift,cd,cl
0.000000000000000000e+00,-3.099999999999998312e+00,-9.999999999999890921e-02,-7.749999999999994316e+01,-2.499999999999972466e+00
5.000000000000000000e+01,-2.200904516336433581e+00,-1.279714812512414979e-01,-5.502261290841082797e+01,-3.199287031281036864e+00
1.000000000000000000e+02,-1.619009077344386593e+00,-1.053384596736667289e-02,-4.047522693360965462e+01,-2.633461491841667668e-01
1.500000000000000000e+02,-1.329779631357196124e+00,-2.105430114959354337e-01,-3.324449078392989776e+01,-5.263575287398384539e+00
2.000000000000000000e+02,-1.123089076288119825e+00,-2.150253656745573227e-01,-2.807722690720299141e+01,-5.375634141863931958e+00
2.500000000000000000e+02,-9.951599815020552020e-01,-1.989244995424334639e-01,-2.487899953755137616e+01,-4.973112488560835764e+00
3.000000000000000000e+02,-8.542556151530814601e-01,-2.484105911631426244e-01,-2.135639037882703306e+01,-6.210264779078564779e+00
3.500000000000000000e+02,-7.201585078674972440e-01,-2.458868930713380141e-01,-1.800396269668742733e+01,-6.147172326783449492e+00
4.000000000000000000e+02,-6.419418215430483521e-01,-2.732199565694886090e-01,-1.604854553857620658e+01,-6.830498914237214336e+00
4.500000000000000000e+02,-5.709365754908410917e-01,-3.019155980469889755e-01,-1.427341438727102485e+01,-7.547889951174722611e+00
5.000000000000000000e+02,-5.136206914207908092e-01,-3.089866319578249421e-01,-1.284051728551976801e+01,-7.724665798945622441e+00
5.500000000000000000e+02,-4.679792147129474000e-01,-3.024684681896505634e-01,-1.169948036782368206e+01,-7.561711704741262530e+00
6.000000000000000000e+02,-4.451610669443355484e-01,-3.149267330379044161e-01,-1.112902667360838649e+01,-7.873168325947609070e+00
6.500000000000000000e+02,-4.393118203736299798e-01,-3.006909927390431503e-01,-1.098279550934074678e+01,-7.517274818476077591e+00
7.000000000000000000e+02,-4.558334208094483309e-01,-2.782328896054984679e-01,-1.139583552023620605e+01,-6.955822240137460533e+00
7.500000000000000000e+02,-4.871416288804465422e-01,-2.492713315257299445e-01,-1.217854072201116189e+01,-6.231783288143247113e+00
8.000000000000000000e+02,-5.323857239011217102e-01,-2.062753212293565452e-01,-1.330964309752804020e+01,-5.156883030733912854e+00
8.500000000000000000e+02,-5.869549301718839374e-01,-1.661920491177036885e-01,-1.467387325429709577e+01,-4.154801227942590991e+00
9.000000000000000000e+02,-6.447570853405304447e-01,-1.339362834060543184e-01,-1.611892713351325668e+01,-3.348407085151357432e+00
9.500000000000000000e+02,-6.942315740350899489e-01,-1.033390435598358359e-01,-1.735578935087724517e+01,-2.583476088995895203e+00
1.000000000000000000e+03,-7.273495833928409482e-01,-8.262419678295881975e-02,-1.818373958482101926e+01,-2.065604919573970299e+00
1.050000000000000000e+03,-7.382997830481822232e-01,-6.871730479960395932e-02,-1.845749457620455303e+01,-1.717932619990098608e+00
1.100000000000000000e+03,-7.245924732472270868e-01,-5.861785569545337193e-02,-1.811481183118067406e+01,-1.465446392386334118e+00
1.150000000000000000e+03,-7.004335343337375619e-01,-5.280111077625099236e-02,-1.751083835834343461e+01,-1.320027769406274532e+00
1.200000000000000000e+03,-6.851488032072057255e-01,-5.052009672949261954e-02,-1.712872008018014114e+01,-1.263002418237315183e+00
1.250000000000000000e+03,-6.595820992638707914e-01,-5.487417548550568847e-02,-1.648955248159676756e+01,-1.371854387137641851e+00
1.300000000000000000e+03,-6.303068081645564202e-01,-5.438382770462264065e-02,-1.575767020411390718e+01,-1.359595692615565676e+00
1.350000000000000000e+03,-6.060803802923238059e-01,-5.483645586671357514e-02,-1.515200950730809204e+01,-1.370911396667839011e+00
1.400000000000000000e+03,-5.891319319933987497e-01,-5.767760892025691061e-02,-1.472829829983496630e+01,-1.441940223006422439e+00
1.450000000000000000e+03,-5.701626745921932748e-01,-5.932813751033848282e-02,-1.425406686480482854e+01,-1.483203437758461751e+00
1.500000000000000000e+03,-5.513971670903462519e-01,-5.846212629885601947e-02,-1.378492917725865397e+01,-1.461553157471400244e+00
1.550000000000000000e+03,-5.430170418103286156e-01,-5.922796801348927109e-02,-1.357542604525821339e+01,-1.480699200337231458e+00
1.600000000000000000e+03,-5.371442311665466374e-01,-5.930477602262428788e-02,-1.342860577916366260e+01,-1.482619400565606815e+00
1.650000000000000000e+03,-5.339394202130876010e-01,-5.690949499622497548e-02,-1.334848550532718825e+01,-1.422737374905624019e+00
1.700000000000000000e+03,-5.325878332643023683e-01,-5.500672688514601782e-02,-1.331469583160755654e+01,-1.375168172128650168e+00
1.750000000000000000e+03,-5.352369122344068364e-01,-5.127685784676172531e-02,-1.338092280586016791e+01,-1.281921446169042911e+00
1.800000000000000000e+03,-5.382383683271678709e-01,-4.724150010535017874e-02,-1.345595920817919477e+01,-1.181037502633754288e+00
1.850000000000000000e+03,-5.415461974257629318e-01,-4.359300969320435010e-02,-1.353865493564406997e+01,-1.089825242330108468e+00
1.900000000000000000e+03,-5.444758136764733525e-01,-4.042601414696205681e-02,-1.361189534191183093e+01,-1.010650353674051205e+00
