step,drag,lift,cd,cl
0.000000000000000000e+00,-3.099999999999998312e+00,-9.999999999999890921e-02,-7.749999999999994316e+01,-2.499999999999972466e+00
5.000000000000000000e+01,-1.681947387449341136e+00,-2.265051649215847618e-02,-4.204868468623352129e+01,-5.662629123039617518e-01
1.000000000000000000e+02,-1.271181464730096300e+00,1.315136543895979726e-02,-3.177953661825240061e+01,3.287841359739948621e-01
1.500000000000000000e+02,-1.041586835153785362e+00,-4.506059477196666663e-02,-2.603967087884462828e+01,-1.126514869299166444e+00
2.000000000000000000e+02,-8.905213460607166454e-01,-1.015754665802794943e-01,-2.226303365151791169e+01,-2.539386664506986691e+00
2.500000000000000000e+02,-8.148143162012315699e-01,-1.215172704420096617e-01,-2.037035790503078658e+01,-3.037931761050240986e+00
3.000000000000000000e+02,-7.102160156852489470e-01,-1.151583600476085573e-01,-1.775540039213122157e+01,-2.878959001190213307e+00
3.500000000000000000e+02,-6.407567360033469273e-01,-1.299561727214778306e-01,-1.601891840008367041e+01,-3.248904318036945238e+00
4.000000000000000000e+02,-6.081943097734268111e-01,-1.423141518968183139e-01,-1.520485774433566739e+01,-3.557853797420457376e+00
4.500000000000000000e+02,-5.836373155445726546e-01,-1.590793100562379325e-01,-1.459093288861431326e+01,-3.976982751405947702e+00
5.000000000000000000e+02,-5.631266686443106018e-01,-1.766031070085815058e-01,-1.407816671610776282e+01,-4.415077675214536868e+00
5.500000000000000000e+02,-5.454248247995747700e-01,-1.770387172968736489e-01,-1.363562061998936592e+01,-4.425967932421840167e+00
6.000000000000000000e+02,-5.348386006618683908e-01,-1.784580228321389350e-01,-1.337096501654670710e+01,-4.461450570803472182e+00
6.500000000000000000e+02,-5.291021720021737984e-01,-1.847149824494513926e-01,-1.322755430005434185e+01,-4.617874561236283704e+00
7.000000000000000000e+02,-5.264433926493211624e-01,-1.814417024692136504e-01,-1.316108481623302673e+01,-4.536042561730340594e+00
7.500000000000000000e+02,-5.254343694373527773e-01,-1.716192551962637813e-01,-1.313585923593381644e+01,-4.290481379906593951e+00
8.000000000000000000e+02,-5.265268407744110313e-01,-1.572072713014210088e-01,-1.316317101936027356e+01,-3.930181782535524526e+00
8.500000000000000000e+02,-5.304232572871849793e-01,-1.437344244265535420e-01,-1.326058143217962204e+01,-3.593360610663837829e+00
9.000000000000000000e+02,-5.366391809297395010e-01,-1.349384047836271749e-01,-1.341597952324348419e+01,-3.373460119590678818e+00
9.500000000000000000e+02,-5.449939863264979811e-01,-1.272735004390828928e-01,-1.362484965816244653e+01,-3.181837510977071570e+00
1.000000000000000000e+03,-5.542730939295283932e-01,-1.156841564006438200e-01,-1.385682734823820716e+01,-2.892103910016095014e+00
1.050000000000000000e+03,-5.638891893019110091e-01,-1.028871817093171687e-01,-1.409722973254777223e+01,-2.572179542732928592e+00
1.100000000000000000e+03,-5.681686993605347125e-01,-9.100589933752975536e-02,-1.420421748401336437e+01,-2.275147483438243246e+00
1.150000000000000000e+03,-5.744432136079408169e-01,-7.982788135448479205e-02,-1.436108034019851765e+01,-1.995697033862119385e+00
1.200000000000000000e+03,-5.922606104517487147e-01,-6.837325170234145877e-02,-1.480651526129371476e+01,-1.709331292558536219e+00
1.250000000000000000e+03,-5.975718069423772150e-01,-6.055917982730660287e-02,-1.493929517355942771e+01,-1.513979495682664878e+00
1.300000000000000000e+03,-5.989077985387583070e-01,-5.558233304438468109e-02,-1.497269496346895501e+01,-1.389558326109616715e+00
1.350000000000000000e+03,-5.991302504534273821e-01,-5.323579469794379598e-02,-1.497825626133568200e+01,-1.330894867448594532e+00
1.400000000000000000e+03,-6.003920687435938541e-01,-5.453352621316166077e-02,-1.500980171858984313e+01,-1.363338155329041346e+00
1.450000000000000000e+03,-5.938670404782208090e-01,-5.895234698218763947e-02,-1.484667601195551789e+01,-1.473808674554690779e+00
1.500000000000000000e+03,-5.865709227290404337e-01,-6.407395494017772974e-02,-1.466427306822600762e+01,-1.601848873504442938e+00
1.550000000000000000e+03,-5.835834903584349309e-01,-6.875487653444642411e-02,-1.458958725896087039e+01,-1.718871913361160297e+00
1.600000000000000000e+03,-5.806540642215056724e-01,-7.314736658048436035e-02,-1.451635160553763981e+01,-1.828684164512108579e+00
1.650000000000000000e+03,-5.781489541049013026e-01,-7.542300553291528264e-02,-1.445372385262252912e+01,-1.885575138322881594e+00
1.700000000000000000e+03,-5.764045703562097334e-01,-7.529470583578265486e-02,-1.441011425890524045e+01,-1.882367645894565955e+00
1.750000000000000000e+03,-5.768895911042615232e-01,-7.286234907657661297e-02,-1.442223977760653497e+01,-1.821558726914414894e+00
1.800000000000000000e+03,-5.772576273397493907e-01,-6.950943293499162179e-02,-1.443144068349373121e+01,-1.737735823374790156e+00
1.850000000000000000e+03,-5.777646271384060395e-01,-6.574316251892216301e-02,-1.444411567846014854e+01,-1.643579062973053784e+00
1.900000000000000000e+03,-5.781732580250735776e-01,-6.306682226374708822e-02,-1.445433145062683700e+01,-1.576670556593676942e+00
1.950000000000000000e+03,-5.782088277786706643e-01,-6.194355040507788096e-02,-1.445522069446676383e+01,-1.548588760126946795e+00
2.000000000000000000e+03,-5.776442515933639665e-01,-6.268384665858212079e-02,-1.444110628983409583e+01,-1.567096166464552631e+00
2.050000000000000000e+03,-5.764596278469245050e-01,-6.494799386422053789e-02,-1.441149069617310907e+01,-1.623699846605513031e+00
2.100000000000000000e+03,-5.749634313459636159e-01,-6.818686598573828195e-02,-1.437408578364908784e+01,-1.704671649643456632e+00
2.150000000000000000e+03,-5.735178163239162963e-01,-7.138125675273121473e-02,-1.433794540809790519e+01,-1.784531418818279924e+00
2.200000000000000000e+03,-5.724758531926391614e-01,-7.358935440341921042e-02,-1.431189632981597626e+01,-1.839733860085480011e+00
2.250000000000000000e+03,-5.720457370653966311e-01,-7.409766216051384691e-02,-1.430114342663491378e+01,-1.852441554012845826e+00
2.300000000000000000e+03,-5.723040176923693823e-01,-7.269680152016350094e-02,-1.430760044230923178e+01,-1.817420038004087246e+00
2.350000000000000000e+03,-5.732602047566506265e-01,-6.963255693607880992e-02,-1.433150511891626344e+01,-1.740813923401969943e+00
2.400000000000000000e+03,-5.746567573672893836e-01,-6.564095230717406637e-02,-1.436641893418223148e+01,-1.641023807679351298e+00
2.450000000000000000e+03,-5.760523740902703249e-01,-6.171781691924639601e-02,-1.440130935225675479e+01,-1.542945422981159664e+00
2.500000000000000000e+03,-5.771963121968406440e-01,-5.884485829507022508e-02,-1.442990780492101344e+01,-1.471121457376755259e+00
2.550000000000000000e+03,-5.778876796527497861e-01,-5.769588597097757149e-02,-1.444719199131874099e+01,-1.442397149274438961e+00
2.600000000000000000e+03,-5.772047458690450217e-01,-5.858456375808081956e-02,-1.443011864672612354e+01,-1.464614093952020246e+00
2.650000000000000000e+03,-5.758882560693815433e-01,-6.112750175321447071e-02,-1.439720640173453603e+01,-1.528187543830361372e+00
2.700000000000000000e+03,-5.742977102725979055e-01,-6.467833502135644785e-02,-1.435744275681494564e+01,-1.616958375533910974e+00
2.750000000000000000e+03,-5.727014953132248953e-01,-6.839542531934622582e-02,-1.431753738283062027e+01,-1.709885632983655368e+00
2.800000000000000000e+03,-5.712540206939791254e-01,-7.125680203468581775e-02,-1.428135051734947503e+01,-1.781420050867145166e+00
2.850000000000000000e+03,-5.705324607076629473e-01,-7.244600166737541480e-02,-1.426331151769157124e+01,-1.811150041684385092e+00
2.900000000000000000e+03,-5.707558111732691231e-01,-7.161456197096863208e-02,-1.426889527933172452e+01,-1.790364049274215441e+00
2.950000000000000000e+03,-5.715900449596889032e-01,-6.898004416906894365e-02,-1.428975112399221992e+01,-1.724501104226723314e+00
3.000000000000000000e+03,-5.728274363935212943e-01,-6.515809321316973213e-02,-1.432068590983802991e+01,-1.628952330329243026e+00
3.050000000000000000e+03,-5.742727644590250868e-01,-6.115338177036158673e-02,-1.435681911147562495e+01,-1.528834544259039419e+00
3.100000000000000000e+03,-5.755122898998380476e-01,-5.800721934431358334e-02,-1.438780724749594775e+01,-1.450180483607839355e+00
3.150000000000000000e+03,-5.761434609381896887e-01,-5.652002353666811529e-02,-1.440358652345473978e+01,-1.413000588416702508e+00
3.200000000000000000e+03,-5.759649135695281696e-01,-5.704444901129583634e-02,-1.439912283923820091e+01,-1.426111225282395534e+00
3.250000000000000000e+03,-5.750081152301993459e-01,-5.944717587206777704e-02,-1.437520288075498165e+01,-1.486179396801694086e+00
3.300000000000000000e+03,-5.734568065367608991e-01,-6.313327454706738062e-02,-1.433642016341901915e+01,-1.578331863676684099e+00
3.350000000000000000e+03,-5.716793349364505117e-01,-6.718778818797598029e-02,-1.429198337341125935e+01,-1.679694704699399077e+00
3.400000000000000000e+03,-5.701107111601777522e-01,-7.059402198983912025e-02,-1.425276777900444181e+01,-1.764850549745977659e+00
3.450000000000000000e+03,-5.691309092779002210e-01,-7.246063558851670305e-02,-1.422827273194750219e+01,-1.811515889712917327e+00
3.500000000000000000e+03,-5.689616615480133088e-01,-7.225923936748543386e-02,-1.422404153870033028e+01,-1.806480984187135430e+00
3.550000000000000000e+03,-5.696204253854415533e-01,-6.998984597560167775e-02,-1.424051063463603661e+01,-1.749746149390041694e+00
